,REGISTRATION_DATE,REGISTRATION_COUNTRY,PURCHASE_COUNT,PURCHASE_COUNT_DELIVERY,PURCHASE_COUNT_TAKEAWAY,FIRST_PURCHASE_DAY,LAST_PURCHASE_DAY,USER_ID,BREAKFAST_PURCHASES,LUNCH_PURCHASES,EVENING_PURCHASES,DINNER_PURCHASES,LATE_NIGHT_PURCHASES,TOTAL_PURCHASES_EUR,DISTINCT_PURCHASE_VENUE_COUNT,MIN_PURCHASE_VALUE_EUR,MAX_PURCHASE_VALUE_EUR,AVG_PURCHASE_VALUE_EUR,PREFERRED_DEVICE,IOS_PURCHASES,WEB_PURCHASES,ANDROID_PURCHASES,PREFERRED_RESTAURANT_TYPES,USER_HAS_VALID_PAYMENT_METHOD,MOST_COMMON_HOUR_OF_THE_DAY_TO_PURCHASE,MOST_COMMON_WEEKDAY_TO_PURCHASE,AVG_DAYS_BETWEEN_PURCHASES,MEDIAN_DAYS_BETWEEN_PURCHASES,AVERAGE_DELIVERY_DISTANCE_KMS,GENERAL_MERCHANDISE,GROCERY,PET_SUPPLIES,RESTAURANT,RETAIL_STORE
0,2019-09-01 00:00:00.000,DNK,0,,,,,1,,,,,,,,,,,ios,,,,,False,,,,,,0,0,0,0,0
1,2019-09-01 00:00:00.000,FIN,1,1.0,0.0,2020-09-02 00:00:00.000,2020-09-02 00:00:00.000,2,0.0,1.0,0.0,0.0,0.0,38.456,1.0,38.532,38.608,38.456,android,0.0,0.0,1.0,,False,23.0,2.0,,,6.853,0,0,0,1,0
2,2019-09-01 00:00:00.000,DNK,19,19.0,0.0,2019-12-10 00:00:00.000,2020-05-25 00:00:00.000,3,0.0,4.0,1.0,14.0,0.0,631.488,9.0,20.28,43.688,33.396,android,0.0,19.0,0.0,,True,21.0,2.0,9.0,3.0,6.559,1,9,0,9,0
3,2019-09-01 00:00:00.000,FIN,0,,,,,4,,,,,,,,,,,android,,,,,False,,,,,,0,0,0,0,0
4,2019-09-01 00:00:00.000,GRC,0,,,,,5,,,,,,,,,,,android,,,,,False,,,,,,0,0,0,0,0
5,2019-09-01 00:00:00.000,FIN,0,,,,,6,,,,,,,,,,,android,,,,,False,,,,,,0,0,0,0,0
6,2019-09-01 00:00:00.000,DNK,0,,,,,7,,,,,,,,,,,ios,,,,,False,,,,,,0,0,0,0,0
7,2019-09-01 00:00:00.000,FIN,1,1.0,0.0,2020-10-14 00:00:00.000,2020-10-14 00:00:00.000,8,0.0,0.0,1.0,0.0,0.0,19.228,1.0,19.266,19.304,19.228,android,0.0,0.0,1.0,,True,5.0,1.0,,,1.251,0,0,0,1,0
8,2019-09-01 00:00:00.000,FIN,0,,,,,9,,,,,,,,,,,android,,,,,False,,,,,,0,0,0,0,0
9,2019-09-01 00:00:00.000,FIN,0,,,,,10,,,,,,,,,,,android,,,,,False,,,,,,0,0,0,0,0
10,2019-09-01 00:00:00.000,FIN,0,,,,,11,,,,,,,,,,,ios,,,,,True,,,,,,0,0,0,0,0
11,2019-09-01 00:00:00.000,FIN,0,,,,,12,,,,,,,,,,,android,,,,,False,,,,,,0,0,0,0,0
12,2019-09-01 00:00:00.000,FIN,19,19.0,0.0,2020-04-18 00:00:00.000,2020-10-27 00:00:00.000,13,0.0,8.0,0.0,11.0,0.0,587.972,3.0,19.266,47.752,31.372,ios,19.0,0.0,0.0,,True,7.0,3.0,11.0,9.0,3.303,1,9,0,9,0
13,2019-09-01 00:00:00.000,FIN,2,2.0,0.0,2020-08-21 00:00:00.000,2020-09-09 00:00:00.000,14,0.0,1.0,1.0,0.0,0.0,118.404,1.0,57.798,60.96,59.708,ios,0.0,0.0,2.0,"[
  ""american""
]",False,5.0,6.0,19.0,19.0,1.382,0,0,0,2,0
14,2019-09-01 00:00:00.000,FIN,0,,,,,15,,,,,,,,,,,android,,,,,False,,,,,,0,0,0,0,0
15,2019-09-01 00:00:00.000,FIN,2,2.0,0.0,2020-05-18 00:00:00.000,2020-07-06 00:00:00.000,16,0.0,2.0,0.0,0.0,0.0,107.272,1.0,51.714,56.896,53.636,ios,2.0,0.0,0.0,,False,0.0,1.0,49.0,49.0,4.619,0,0,0,2,0
16,2019-09-01 00:00:00.000,FIN,7,5.0,2.0,2019-12-05 00:00:00.000,2020-10-31 00:00:00.000,17,0.0,5.0,0.0,2.0,0.0,284.372,6.0,22.308,58.928,40.48,android,0.0,0.0,7.0,"[
  ""american""
]",True,10.0,1.0,55.0,56.0,4.903,1,3,0,3,0
17,2019-09-01 00:00:00.000,DNK,2,2.0,0.0,2019-09-05 00:00:00.000,2020-05-16 00:00:00.000,18,0.0,0.0,0.0,2.0,0.0,116.38,2.0,29.406,86.36,57.684,ios,2.0,0.0,0.0,"[
  ""japanese""
]",True,7.0,2.0,254.0,254.0,8.324,0,0,0,2,0
18,2019-09-01 00:00:00.000,FIN,0,,,,,19,,,,,,,,,,,ios,,,,,False,,,,,,0,0,0,0,0
19,2019-09-01 00:00:00.000,DNK,0,,,,,20,,,,,,,,,,,ios,,,,,False,,,,,,0,0,0,0,0
